head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
21.05457,-125.10455,1338.9655,13.259173,-73.12536,908.11316,213.38895,-126.27514,1013.9491,163.79108,-58.277393,691.0064,-72.07123,-25.28412,855.6675,-182.63797,-133.97337,1016.92725,-187.41216,-37.38446,716.03613,74.29998,10.384477,837.19617,-150.8084,-226.29985,611.85,166.1902,233.62581,545.55,-144.86066,233.66621,548.04535,126.80695,77.866264,68.33459,-147.54767,78.23283,79.52854,187.6259,340.67322,76.075,-176.45003,342.7457,86.2292,0.0,0.0,0.0
20.89709,-122.7759,1338.493,13.411957,-71.9957,907.38666,213.30167,-124.326904,1013.5257,163.60266,-57.451935,690.4993,-71.64881,-24.115458,855.1238,-182.47227,-131.90565,1016.8361,-187.47458,-36.37213,715.6266,74.821594,12.05654,836.4873,-150.80946,-225.7045,612.02466,166.51031,233.77133,545.4746,-144.91049,233.99004,547.9852,127.04675,78.144135,68.36163,-147.51277,78.332726,79.48889,187.58182,340.69977,75.98967,-176.32782,342.87183,86.00544,0.0,0.0,0.0
21.481922,-119.91473,1338.3568,13.610132,-70.338806,907.061,213.60823,-122.27553,1013.40857,163.51517,-56.546623,690.27936,-72.06659,-22.111376,854.5354,-182.31061,-129.81403,1016.6909,-187.23425,-35.19465,715.10004,75.0136,13.557487,835.83203,-150.84946,-225.12672,612.1516,166.7411,233.68413,545.4353,-144.88269,234.2664,547.9413,126.8314,78.00086,68.42195,-147.51181,78.23228,79.54016,187.55548,340.69058,75.76846,-176.23712,342.82867,85.893234,0.0,0.0,0.0
22.003521,-117.16387,1337.92,13.7493515,-68.445366,906.8952,213.57053,-120.24127,1013.0436,164.48114,-55.82339,689.77856,-71.67515,-20.705824,854.0247,-182.20671,-127.765785,1016.53064,-187.0561,-34.040737,714.63776,75.22461,15.149528,835.1692,-150.72244,-224.33762,612.4131,167.44012,233.86998,545.5393,-144.99504,234.48073,547.7648,126.562294,78.24696,68.53437,-147.5315,78.22982,79.55955,187.55202,340.67288,75.594696,-176.05107,342.81348,85.48501,0.0,0.0,0.0
22.443363,-114.574295,1337.9698,13.802006,-66.58893,906.6265,213.79941,-118.22701,1012.8569,164.02466,-54.492073,689.3098,-71.51424,-19.135359,853.5721,-181.99045,-125.68885,1016.369,-186.92888,-32.79392,714.226,75.09262,16.392286,834.7483,-150.78934,-223.78722,612.7667,167.96194,233.98657,545.51697,-144.98921,234.81982,547.69336,126.76102,78.49967,68.643585,-147.50264,78.242744,79.568756,187.56042,340.73734,75.445305,-175.94579,342.81003,85.507095,0.0,0.0,0.0
22.676506,-111.97159,1338.2421,14.01822,-65.09598,906.2681,214.07977,-116.22938,1012.8696,163.83342,-53.56856,689.3174,-71.31252,-17.504316,853.101,-181.90044,-123.62656,1016.2568,-186.8787,-31.759703,713.80774,74.91527,17.786528,834.12177,-150.84596,-223.2534,613.07,168.48624,234.11833,545.3033,-145.0228,235.1362,547.6034,126.5254,78.29349,68.735405,-147.36684,78.42689,79.552795,187.57684,340.66776,75.20607,-176.04208,342.91504,85.36494,0.0,0.0,0.0
22.596529,-109.36292,1337.7643,13.229313,-61.45481,906.6495,213.90459,-114.39228,1012.5918,164.65915,-52.895702,689.14496,-71.225204,-16.020723,852.7114,-181.8504,-121.61237,1016.16833,-186.69919,-30.519974,713.48096,74.956314,19.122087,833.51,-150.66484,-222.32684,613.3891,169.02818,234.2858,545.31226,-145.01263,235.488,547.53046,126.57051,78.326904,68.77762,-147.39189,78.41428,79.59131,187.5593,340.68185,74.9574,-176.02336,342.89914,85.23861,0.0,0.0,0.0
23.144814,-106.72229,1337.9061,14.064934,-61.05635,906.10767,214.05046,-112.458084,1012.5526,164.73177,-51.540928,688.6176,-71.021126,-14.402425,852.382,-181.70752,-119.59065,1016.0863,-186.42097,-29.302282,713.088,75.892105,21.031921,833.01447,-150.6977,-221.7483,613.77795,169.57076,234.41669,545.25903,-145.02724,235.91202,547.49,126.540985,78.42763,68.823975,-147.38686,78.41126,79.647606,187.6483,340.63876,74.73123,-175.83029,343.04123,84.93859,0.0,0.0,0.0
22.939795,-104.63081,1337.51,14.2967205,-59.50008,905.8203,214.15796,-110.88609,1012.60876,165.1707,-50.47419,688.0712,-70.85117,-13.211756,851.9878,-181.56453,-117.54271,1016.0149,-186.24837,-28.09691,712.79315,75.57208,22.104815,832.76575,-150.59297,-220.97134,613.98834,170.26321,234.49495,545.26306,-145.05728,236.40446,547.4167,126.56596,78.47902,68.92523,-147.50648,78.294914,79.72435,187.69472,340.65292,74.569336,-175.69124,342.979,84.70284,0.0,0.0,0.0
23.376188,-102.39297,1337.8134,12.309586,-55.815475,905.9568,214.31543,-109.00018,1012.5667,165.66316,-49.89514,688.10956,-70.82828,-11.311138,851.70087,-181.36258,-115.53702,1015.94714,-186.12689,-26.993061,712.5407,75.596115,23.30299,832.47723,-151.0423,-220.00395,614.8527,170.62157,234.7934,545.11273,-145.18303,236.96326,547.3961,126.6626,78.49061,68.98174,-147.41014,78.357,79.812416,187.72485,340.65945,74.46746,-175.61888,343.03156,84.31077,0.0,0.0,0.0
