head                          _X,head                          _Y,head                          _Z,chest                         _X,chest                         _Y,chest                         _Z,rShoulder                     _X,rShoulder                     _Y,rShoulder                     _Z,rElbow                        _X,rElbow                        _Y,rElbow                        _Z,rWrist                        _X,rWrist                        _Y,rWrist                        _Z,lShoulder                     _X,lShoulder                     _Y,lShoulder                     _Z,lElbow                        _X,lElbow                        _Y,lElbow                        _Z,lWrist                        _X,lWrist                        _Y,lWrist                        _Z,lHip                          _X,lHip                          _Y,lHip                          _Z,rKnee                         _X,rKnee                         _Y,rKnee                         _Z,lKnee                         _X,lKnee                         _Y,lKnee                         _Z,rHeel                         _X,rHeel                         _Y,rHeel                         _Z,lHeel                         _X,lHeel                         _Y,lHeel                         _Z,rToe                          _X,rToe                          _Y,rToe                          _Z,lToe                          _X,lToe                          _Y,lToe                          _Z,rHip                          _X,rHip                          _Y,rHip                          _Z
-23.442608,424.33655,1720.6516,3.8871026,503.28543,1302.3147,218.84018,390.83255,1391.2614,258.66434,379.3323,1097.9867,251.84547,546.89557,883.3417,-211.10765,383.15045,1384.8341,-249.87442,385.96283,1093.1559,-224.15422,545.63464,874.3565,-149.28558,423.76666,957.13586,99.90437,468.02087,511.82498,-100.02549,463.45032,497.59692,103.02482,292.80438,67.9635,-108.7267,281.31863,80.44404,123.72231,561.30566,74.21525,-168.7169,540.59515,77.402664,162.59264,421.62234,984.2471
-22.08754,425.99133,1720.8519,3.8891666,503.01318,1302.3457,218.5069,390.32864,1391.4333,258.78708,379.09473,1098.2045,252.20493,547.43005,884.0815,-211.30952,383.24142,1384.6478,-249.8697,386.19467,1092.9055,-223.92157,545.75433,874.1852,-154.87964,429.98257,959.77,98.95869,467.35745,511.2919,-99.89807,463.05478,497.4756,102.99325,292.8319,67.898895,-108.707344,281.37256,80.470856,123.696205,561.3007,74.22312,-168.65295,540.6699,77.36568,162.8264,421.38107,984.3187
-21.051691,426.94504,1720.3339,3.8740282,502.78555,1302.3694,218.27911,389.77994,1391.6512,258.98117,378.78174,1098.4987,252.55942,547.924,884.90076,-211.64307,383.55173,1384.4606,-249.91641,386.39807,1092.7373,-223.94191,545.8896,874.2441,-149.05014,423.57407,957.17975,99.62258,467.9048,511.76797,-100.02205,463.329,497.59738,102.80481,292.8187,67.878044,-108.40907,281.21094,80.549034,123.74028,561.312,74.26927,-168.88158,540.7285,77.536285,162.8654,420.7931,984.30066
-19.144741,428.77747,1720.5046,3.5335417,503.08496,1302.4358,218.02591,389.18085,1391.979,259.426,378.18716,1098.6206,252.88873,548.4415,885.7444,-211.91788,383.68777,1384.2899,-249.95395,386.62238,1092.5145,-223.6511,545.9516,874.0419,-154.61833,430.6197,959.76874,98.95077,467.3883,511.43982,-100.04795,463.23346,497.61774,102.96107,292.8245,67.93312,-108.81716,281.24844,80.37901,123.73562,561.29193,74.25691,-168.77226,540.63446,77.4216,162.981,420.35596,984.32983
-17.395437,430.1153,1720.5602,3.675189,502.85635,1302.4501,217.81277,388.5637,1392.2051,259.35522,378.2173,1098.9653,253.31718,548.95245,886.65955,-212.08092,383.71475,1384.1161,-249.95894,386.8683,1092.2545,-223.43367,545.9694,873.74817,-154.50288,430.69397,959.70435,99.68918,467.99878,511.99792,-100.051956,463.37314,497.58377,102.79846,292.77136,67.85464,-108.40533,281.215,80.50971,123.69079,561.2805,74.219734,-168.6525,540.6589,77.48717,163.13168,419.9549,984.4617
-16.081394,431.45056,1720.5801,3.77926,502.65796,1302.4846,217.55333,387.96332,1392.4993,260.98587,376.7831,1099.6638,253.97324,549.6556,887.6359,-212.3093,383.97162,1383.9287,-249.9539,387.06244,1092.0887,-223.13304,545.9152,873.3868,-149.05504,423.94687,957.0595,99.16769,467.53653,511.76273,-100.017845,463.41476,497.63217,102.82537,292.82285,67.86974,-108.4035,281.2292,80.55082,123.74283,561.2625,74.22909,-168.88663,540.59576,77.46333,163.26245,419.28888,984.4795
-13.976624,433.05817,1720.1085,3.876608,502.5388,1302.5088,217.40324,387.30774,1392.7617,260.18976,377.3538,1099.6328,254.22102,550.0081,888.53503,-212.55022,384.28687,1383.799,-250.01845,387.27145,1091.9706,-222.64047,545.86053,873.0711,-154.31006,430.74878,959.72736,99.67646,468.13513,512.1763,-100.15616,463.45517,497.68692,103.02955,292.81592,67.971664,-108.73458,281.35416,80.444954,123.7339,561.2959,74.26208,-168.89487,540.72833,77.61892,163.37799,418.80933,984.57904
-12.003674,434.62027,1720.2432,4.062637,502.3512,1302.5457,217.11145,386.6135,1392.9551,260.7812,376.74524,1099.781,254.64484,550.4933,889.4345,-212.71106,384.6395,1383.6044,-250.03503,387.52267,1091.8379,-222.34454,545.35583,872.88794,-154.08765,430.88718,959.7553,99.72557,468.20605,512.23956,-100.00483,463.55002,497.65894,103.10193,292.87216,67.977806,-108.709724,281.35242,80.49292,123.70932,561.27026,74.253365,-168.74904,540.5871,77.530075,163.48642,418.19794,984.7139
-9.706282,436.07358,1720.0505,4.34669,502.23737,1302.5515,216.98299,385.85526,1393.192,260.72488,376.54407,1100.2272,255.16876,550.94,890.31244,-212.89803,385.0747,1383.4963,-250.03775,387.79453,1091.7616,-221.82346,545.4322,871.86584,-153.77248,430.95673,959.6833,99.265045,467.84235,512.00916,-99.9938,463.55792,497.65195,102.873825,292.73782,67.88396,-108.71304,281.3521,80.4538,123.74171,561.2915,74.27207,-168.71916,540.53735,77.32519,163.56827,417.58426,984.70166
-7.045325,437.731,1719.9579,4.564206,502.0351,1302.4896,216.80563,385.0794,1393.3298,261.00638,376.09113,1100.5065,255.69792,551.37213,891.2204,-212.9981,385.66498,1383.3834,-250.08676,388.0284,1091.716,-221.405,544.9993,871.46387,-154.99443,429.384,960.2653,99.27767,467.95532,512.05817,-99.8869,463.58667,497.64157,102.861595,292.76672,67.870804,-108.720955,281.35397,80.503494,123.71941,561.3165,74.29042,-168.93402,540.6576,77.62825,163.71088,417.04465,984.8645
